pups,juveniles,adult_females,subadult_males,adult_males,total
0.12914050660316087,0.27560077938947825,0.3920762069712059,0.1182074042000433,0.08497510283611172,"(1, 25)"
0.09559748427672957,0.3749571183533448,0.44596912521440824,0.04013722126929674,0.0433390508862207,"(26, 50)"
0.11564824267172233,0.3777162024208838,0.4294881143357153,0.03893831121481697,0.038209129356861604,"(51, 75)"
0.11310133060388945,0.3607983623336745,0.44199931763903105,0.043841692255203,0.04025929716820198,"(76, 100)"
0.15937122128174122,0.2914147521160822,0.4686819830713422,0.03579201934703748,0.044740024183796856,"(101, 125)"
0.20397852857593937,0.22292390274707927,0.5045784654246921,0.0214714240606252,0.047047679191664034,"(126, 150)"
0.2852760736196319,0.1767638036809816,0.4773773006134969,0.01495398773006135,0.04562883435582822,"(151, 175)"
0.26681741096664785,0.13934426229508196,0.535048049745619,0.009609949123798756,0.04918032786885246,"(176, 200)"
0.2739399714149595,0.22105764649833254,0.44163887565507387,0.02048594568842306,0.04287756074321105,"(201, 225)"
0.28095238095238095,0.1636904761904762,0.4994047619047619,0.013095238095238096,0.04285714285714286,"(226, 250)"
0.2293404094010614,0.19939347990902198,0.5257771038665656,0.012130401819560273,0.03335860500379075,"(251, 275)"
0.32232841007819285,0.0790616854908775,0.5490877497827976,0.004344048653344918,0.045178105994787145,"(276, 300)"
0.14797136038186157,0.3166268894192522,0.48607796340493237,0.007955449482895784,0.04136833731105807,"(301, 325)"
0.36566440349175555,0.06789524733268672,0.492725509214355,0.013579049466537343,0.06013579049466537,"(326, 350)"
0.19722222222222222,0.49722222222222223,0.25833333333333336,0.02361111111111111,0.02361111111111111,"(351, 375)"
0.2829943747295543,0.11726525313717005,0.556901774123756,0.01038511466897447,0.032453483340545215,"(376, 400)"
0.4295942720763723,0.028639618138424822,0.49761336515513127,0.002386634844868735,0.041766109785202864,"(401, 425)"
0.40537449971412237,0.07547169811320754,0.4642652944539737,0.012578616352201259,0.04230989136649514,"(426, 450)"
0.28087864602088586,0.18545192653943104,0.49333813467770976,0.004681310767014764,0.035649981994958585,"(451, 475)"
0.4059917355371901,0.022727272727272728,0.5268595041322314,0.002066115702479339,0.042355371900826444,"(476, 500)"
0.40594541910331383,0.04922027290448343,0.5,0.007797270955165692,0.037037037037037035,"(501, 525)"
0.08359133126934984,0.4613003095975232,0.4198142414860681,0.013622291021671827,0.021671826625386997,"(526, 550)"
0.36186252771618627,0.04212860310421286,0.5299334811529933,0.00753880266075388,0.05853658536585366,"(551, 575)"
0.3909710391822828,0.05025553662691652,0.5119250425894378,0.0034071550255536627,0.0434412265758092,"(576, 600)"
0.14527845036319612,0.4915254237288136,0.3220338983050847,0.007263922518159807,0.03389830508474576,"(601, 800)"
0.3757159221076747,0.032073310423825885,0.5269186712485682,0.006872852233676976,0.058419243986254296,"(801, 1000)"
0.4037209302325581,0.0074418604651162795,0.5497674418604651,0.0027906976744186047,0.03627906976744186,"(1001, 1200)"
0.41719242902208203,0.02050473186119874,0.5354889589905363,0.0,0.026813880126182965,"(1201, 1400)"
